id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen ,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Justiz,Deutschland
500,Folge 500,,,
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Geschichte,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
501,Folge 501,,,
al,Annalena Baerbock,Die Grünen,Politik,Deutschland
ft,Frans Timmermans,,Politik,Deutschland
am,Andrij Melnyk,,Politik,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Militär,Deutschland
502,Folge 502,,,
rh,Robert Habeck,Die Grünen,Politik,Deutschland
cm,Claudia Major,,Politik,Deutschland
kp,Katja Petrowskaja,,Journalsmus,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
kd,Kristina Dunz,,Journalismus,Deutschland
503,Folge 503,,,
CDU,CDU,Partei,Politik,Deutschland
SPD,SPD,Partei,Politik,Deutschland
Die Linke,Die Linke,Partei,Politik,Deutschland
FDP,FDP,Partei,Politik,Deutschland
Die Grünen,Die Grünen,Partei,Politik,Deutschland
